iter	Passed	Remaining
638	4091	2311
639	4097	2304
640	4103	2298
641	4109	2291
642	4115	2285
643	4121	2278
644	4127	2271
645	4133	2265
646	4139	2258
647	4145	2251
648	4151	2245
649	4157	2238
650	4164	2232
651	4171	2226
652	4177	2219
653	4183	2213
654	4189	2206
655	4195	2200
656	4202	2193
657	4208	2187
658	4214	2180
659	4219	2173
660	4225	2167
661	4231	2160
662	4238	2154
663	4244	2147
664	4250	2141
665	4255	2134
666	4261	2127
667	4267	2120
668	4274	2114
669	4279	2108
670	4285	2101
671	4291	2094
672	4297	2088
673	4303	2081
674	4309	2074
675	4315	2068
676	4320	2061
677	4327	2055
678	4332	2048
679	4338	2041
680	4344	2035
681	4350	2028
682	4357	2022
683	4363	2015
684	4369	2009
685	4376	2003
686	4381	1996
687	4388	1989
688	4393	1983
689	4399	1976
690	4406	1970
691	4412	1963
692	4418	1957
693	4425	1951
694	4430	1944
695	4436	1937
696	4443	1931
697	4449	1924
698	4455	1918
699	4460	1911
700	4467	1905
701	4473	1899
702	4479	1892
703	4486	1886
704	4492	1879
705	4498	1873
706	4503	1866
707	4509	1859
708	4514	1853
709	4521	1846
710	4526	1840
711	4532	1833
712	4538	1826
713	4544	1820
714	4550	1813
715	4556	1807
716	4562	1800
717	4567	1794
718	4574	1787
719	4580	1781
720	4585	1774
721	4591	1767
722	4597	1761
723	4603	1755
724	4609	1748
725	4615	1741
726	4620	1735
727	4626	1728
728	4632	1722
729	4638	1715
730	4645	1709
731	4651	1702
732	4656	1696
733	4663	1689
734	4669	1683
735	4675	1676
736	4681	1670
737	4687	1664
738	4694	1658
739	4700	1651
740	4706	1644
741	4712	1638
742	4718	1632
743	4725	1625
744	4731	1619
745	4737	1613
746	4743	1606
747	4749	1600
748	4755	1593
749	4761	1587
750	4767	1580
751	4773	1574
752	4779	1567
753	4785	1561
754	4791	1554
755	4798	1548
756	4804	1542
757	4810	1535
758	4815	1529
759	4821	1522
760	4827	1516
761	4833	1509
762	4839	1503
763	4846	1497
764	4852	1490
765	4858	1484
766	4864	1477
767	4870	1471
768	4876	1464
769	4882	1458
770	4888	1451
771	4894	1445
772	4900	1439
773	4906	1432
774	4912	1426
775	4918	1419
776	4924	1413
777	4929	1406
778	4935	1400
779	4942	1393
780	4947	1387
781	4953	1380
782	4959	1374
783	4965	1367
784	4971	1361
785	4976	1355
786	4982	1348
787	4988	1342
788	4994	1335
789	5000	1329
790	5006	1322
791	5012	1316
792	5018	1309
793	5023	1303
794	5029	1297
795	5035	1290
796	5040	1283
797	5046	1277
798	5052	1270
799	5057	1264
800	5063	1258
801	5069	1251
802	5074	1245
803	5080	1238
804	5086	1232
805	5091	1225
806	5097	1219
807	5103	1212
808	5108	1206
809	5114	1199
810	5120	1193
